"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"3217","23","Atox1",1.21348050538929,2.72789640570721e-199,5.84015341497856e-195,0.929,0.698
"3218","23","Laptm5",1.76842569046218,8.96542380195645e-197,1.91940758176086e-192,0.925,0.075
"3219","23","Plbd1",1.62544706769155,1.33032475944356e-196,2.84809227749272e-192,0.712,0.057
"3220","23","Spi1",1.52974023965545,1.71565348803787e-192,3.67304255254028e-188,0.901,0.073
"3221","23","Coro1a",1.64210425848646,2.3609508295668e-191,5.05455963101957e-187,0.849,0.055
"3222","23","Msrb1",1.68802990880915,3.36979657927279e-191,7.21439749656512e-187,0.684,0.246
"3223","23","Traf1",1.84527639776156,6.26728397261775e-191,1.34176282569773e-186,0.764,0.056
"3224","23","Syngr2",1.33916107708113,1.04221077971163e-186,2.23126905828463e-182,0.712,0.191
"3225","23","Ctss",1.75655111941232,6.14541516152805e-185,1.31567193193154e-180,0.934,0.087
"3226","23","Cyba",1.40569785707382,2.53785265500405e-184,5.43328874909817e-180,0.981,0.721
"3227","23","Lsp1",1.47864342284124,1.16302612525571e-183,2.48992263155995e-179,0.764,0.173
"3228","23","Ptprc",1.57962800284106,9.36215647531618e-181,2.00434407980044e-176,0.764,0.041
"3229","23","Plek",1.71462544011732,8.12443804335722e-179,1.73936094070235e-174,0.849,0.062
"3230","23","Fth1",1.44262473535215,2.59556695961284e-177,5.55684930383513e-173,1,0.999
"3231","23","Snx20",1.22523475600826,2.4739136411042e-175,5.29640171423997e-171,0.679,0.025
"3232","23","Lyn",1.34956871031857,1.07631669436607e-173,2.30428641096831e-169,0.821,0.081
"3233","23","Trem1",1.20420824745751,3.7663498585107e-169,8.06337841208555e-165,0.467,0.003
"3234","23","Havcr2",1.17881092017562,9.63913636587692e-169,2.06364270457059e-164,0.67,0.024
"3235","23","Clec4d",1.7459746601159,1.68605459580997e-168,3.60967428416956e-164,0.637,0.026
"3236","23","Ptafr",1.51605074816177,6.3619067760136e-166,1.36202062167675e-161,0.778,0.05
"3237","23","Gmfg",1.39795024594307,1.97637765711468e-161,4.23122692611682e-157,0.797,0.062
"3238","23","Cd300c2",1.5898179194271,2.69907347054118e-159,5.7784463930816e-155,0.811,0.063
"3239","23","Arl4c",1.70670708185021,1.75626279147647e-157,3.75998301027197e-153,0.873,0.13
"3240","23","Il1r2",1.8780221020272,2.30967984060068e-156,4.944793570742e-152,0.552,0.026
"3241","23","Cd14",2.19031667300465,3.09367465416298e-156,6.62324806709752e-152,0.939,0.25
"3242","23","Lyz2",2.54041450927109,1.73924054664175e-155,3.72354008630533e-151,0.858,0.104
"3243","23","Lilr4b",1.46305970635639,1.80847934744674e-154,3.87177343494872e-150,0.783,0.059
"3244","23","Itgb2",1.23767419292957,1.61626509751339e-153,3.46026194726641e-149,0.698,0.039
