"","gene","SC"
"179","Lamc1",1.0464625923878
"180","Dhx9",1.11586791345646
"181","Npl",0.397187427373729
"182","Rgs16",7.7296976423779
"183","Glul",0.580114586881948
"184","Ier5",2.31655998318739
"185","Stx6",0.802498790208275
"186","Acbd6",0.676653512173906
"187","Cep350",0.381670591363206
"188","Tor1aip1",2.6421723430867
"189","Tor1aip2",1.64985523970283
"190","Gm2000",0.612010266310544
"191","Abl2",0.61632712837438
"192","Tor3a",1.09163147776809
"193","Ralgps2",0.307428715619362
"194","Rasal2",0.656065153011183
"195","Cop1",0.452064796302141
"196","Mrps14",1.29872701434107
"197","Cacybp",2.03660846290113
"198","Rc3h1",0.617934541619508
"199","Prdx6",1.62759272879968
"200","Suco",0.568728312467252
"201","Prrc2c",2.51994293015089
"202","Sele",2.15238311011151
"203","Selp",22.198400195017
"204","Sft2d2",0.307015064893026
"205","Tiprl",0.835313472709364
"206","Mpc2",1.1295548260686
"207","Uck2",0.322634466695485
"208","Tmco1",0.83041636391269
"209","Pbx1",0.634506764726832
"210","Uap1",1.26975963532334
"211","Atf6",1.58089239798367
"212","Dusp12",0.36299780638881
"213","Pcp4l1",3.21834232034011
"214","Fcer1g",0.331665138205307
"215","Ndufs2",1.07412799359273
"216","Adamts4",3.01445779956661
"217","Ufc1",1.40995755705118
"218","Pfdn2",1.86467557934207
"219","Usf1",0.316010277698428
"220","F11r",3.2513484970946
"221","Copa",0.562855247722616
"222","Dcaf8",0.300976531691419
"223","Pea15a",0.795515232433384
"224","Tagln2",5.4961960294482
"225","Ackr1",0.927264922934494
"226","Ifi204",0.86841782141359
"227","Mndal",1.99095920557664
"228","Ifi211",0.340289447151483
"229","Ifi203",3.93418590710878
"230","Ifi202b",2.15372995119147
"231","Cep170",0.922221536568669
"232","Adss",2.29217858283331
"233","Desi2",1.25297807102842
"234","Cox20",0.328023663353145
"235","Hnrnpu",3.23223830651729
"236","Tfb2m",0.502350067828241
"237","Ahctf1",0.822670403582677
"238","Cdc42bpa",0.614981077988522
"239","Itpkb",0.713054962753719
"240","Acbd3",0.859769399138389
"241","H3f3a",13.4716456858456
"242","Sde2",1.06124420215888
"243","Ephx1",0.715878873258517
"244","Cnih4",0.609926527368011
"245","Wdr26",1.14572009342702
"246","Lbr",0.379062691333683
"247","Enah",0.363725683919
"248","Srp9",2.33163651476753
"249","Degs1",1.55598297217873
"250","Fbxo28",0.342796546688381
"251","Capn2",1.73478121354083
"252","Brox",0.369165286458445
"253","Aida",0.643418413110599
"254","Marc2",1.07333962510452
"255","Eprs",2.16958411500541
"256","Rrp15",1.28591900066042
"257","Ptpn14",0.655827267644456
"258","Smyd2",1.02318021459969
"259","Prox1",0.847877045931094
"260","Angel2",0.569178884229096
"261","Atf3",2.64223299574834
"262","Nenf",1.17247007603527
"263","Ppp2r5a",1.89444584326384
"264","Plxna2",2.21584483821412
"265","Cd34",3.14319857211875
"266","Cr1l",0.927668936078605
"267","Hspa14",0.331716803429752
